file,subdir,title,url,status_code,final_url,is_live,category,content_type,redirect_url,error,has_ssl
adho-org.md,websites,Adho Org,https://adho.org/,200,https://adho.org/,True,live,text/html; charset=UTF-8,,,True
afe-easia-columbia-edu.md,websites,Afe Easia Columbia Edu,https://afe.easia.columbia.edu/,200,https://afe.easia.columbia.edu/,True,live,text/html; charset=UTF-8,,,True
andrewerickson-com.md,websites,Andrewerickson Com,https://www.andrewerickson.com/,200,https://www.andrewerickson.com/,True,live,text/html; charset=UTF-8,,,True
anli-court-gov-cn.md,websites,Anli Court Gov Cn,https://anli.court.gov.cn/,403,https://anli.court.gov.cn/,False,blocked_403,text/html; charset=utf-8,,,True
ap6-pccu-edu-tw-dictionary.md,websites,Ap6 Pccu Edu Tw Dictionary,http://ap6.pccu.edu.tw/Dictionary/,,,False,timeout,,,Connection timed out,False
apabi-com-yale.md,websites,中华数字书苑工具书库 Apabi Chinese Reference Book Database,http://www.apabi.com/yale,200,http://www.apabi.com/yale/pub.mvc?pid=login&cult=CN&needIpAutoLogin=1&returl=%2fyale,True,live_redirect,text/html; charset=utf-8,http://www.apabi.com/yale/pub.mvc?pid=login&cult=CN&needIpAutoLogin=1&returl=%2fyale,,False
archival-collections-of-asia-photographs-asia-photographs-at-harvard-quod.lib.umich.edu-96fda6f6.md,websites,Archival Collections of Asia Photographs: Asia Photographs at Harvard,http://quod.lib.umich.edu/t/tap/7977573.0002.217?view=text%3Brgn%3Dmain,403,https://quod.lib.umich.edu/t/tap/7977573.0002.217?view=text%3Brgn%3Dmain,False,blocked_403,text/html; charset=UTF-8,,,False
archive-ihp-sinica-edu-tw-hplname.md,websites,Archive Ihp Sinica Edu Tw Hplname,http://archive.ihp.sinica.edu.tw/hplname/,,,False,timeout,,,Connection timed out,False
archive-ihp-sinica-edu-tw-index-html.md,websites,Archive Ihp Sinica Edu Tw Index Html,http://archive.ihp.sinica.edu.tw/mctkm2/index.html,,,False,timeout,,,Connection timed out,False
archive-ihp-sinica-edu-tw-index-php.md,websites,Archive Ihp Sinica Edu Tw Index Php,http://archive.ihp.sinica.edu.tw/ttsweb/html_name/index.php,,,False,timeout,,,Connection timed out,False
archive-ihp-sinica-edu-tw-officerkm2.md,websites,Archive Ihp Sinica Edu Tw Officerkm2,http://archive.ihp.sinica.edu.tw/officerc/officerkm2,,,False,timeout,,,Connection timed out,False
archive-org-index-php.md,websites,Internet archive,http://archive.org/index.php,200,http://archive.org/,True,live_redirect,text/html; charset=utf-8,http://archive.org/,,False
artfl-project-uchicago-edu.md,websites,Artfl Project Uchicago Edu,https://artfl-project.uchicago.edu/,200,https://artfl-project.uchicago.edu/,True,live,text/html; charset=UTF-8,,,True
artstor-on-jstor-harvard-institutional-collection-on-jstor-jstor.org-4c3ef5e3.md,websites,Artstor on JSTOR. Harvard Institutional Collection on JSTOR,https://www.jstor.org/site/harvarduniversity/institutional-collection/?so=item_title_str_asc&searchkey=1723580295818,403,https://www.jstor.org/site/harvarduniversity/institutional-collection/?so=item_title_str_asc&searchkey=1723580295818,False,blocked_403,text/html,,,True
ascdc-sinica-edu-tw-index-jsp.md,websites,Ascdc Sinica Edu Tw Index Jsp,https://ascdc.sinica.edu.tw/index.jsp,200,https://ascdc.sinica.edu.tw/index.jsp,True,live,text/html;charset=utf-8,,,True
asia-center-asiacenter.harvard.edu-da4269af.md,websites,Asia Center,https://asiacenter.harvard.edu,200,https://asiacenter.harvard.edu/,True,live_redirect,text/html; charset=UTF-8,https://asiacenter.harvard.edu/,,True
asia-si-edu.md,websites,Asia Si Edu,https://asia.si.edu/,403,https://asia.si.edu/,False,blocked_403,text/html; charset=UTF-8,,,True
